Company Name,CS,PM/SDM,Resource,vCISO,Service Type,Current Engagement,RAG Status Internal (based on CS and PM),Next Steps/AIs (Based on CS and PM),Comments (CS/PM),"Comments (Vipin/Sam/Robin/Perley/Naveen)
",Accountability(PM/Vertical Head),Status (Open/On-going)
Prairie View A&M University,Rachit,MJ/Sam Mukherjee,,-,MEA,"
1. OIT - ERP Management Services RFP",Red,Client terminated the contract however extended it for just 3 months.,PM Issue,"They complained about the PM, and OculusIT went on a meeting w them and replaced the PM.",MJ/Sam Mukherjee,On-going
Seward County Community College,Rachit,Matt ,,Kenny,ITO,"1. Banner Managed Services (DBA)
2. Network Management and SOC Services.                                                 3. OIT - Project Management Services                                   4. IT Outsourcing",Amber,Contract scope has been modified removing NOC/ SOC and Helpdesk,Onsite CIO keeps blaming remote team for not being able to do anything.,Client wants to reduce and restructure their contract. Proposal being worked upon by Jim.,Matt ,
Colorado College,Anjali,Sophie,,Jonathan,MSS,"SOC, vCISO, GLBA and Pentest",Red,On going SOC Tool issue,"Non Renewal.  SOC repeatedly dropped the ball here, but client is also not a great fit.",they will be one of the first schools to be given the option to move to inoply,Robin,Open
Voorhees University,Sourabh,Matthew ,,-,MSS,"SOC
Pen Test",Red,"1.There is a recurring payment issue, Wherein client has not been responding to any calls or mails.
2. Need to connect with CFO ",Payment Received. PM is connecting with Client once confirmed on time options.,Client is not responding to PM and agents are also down since a while. PM and CS both are reaching out frequently,Robin,Open
Briar Cliff University,Rachit,Ron,Mike Cassar,-,MSS,CIO as a Service,Red,Client not happy with the vCIO service. Offered to use the engagement for another service and adjust remaining hours,,,Ron,
Bennett College,Rachit,Robin,,Johnny,ITO,"1. OIT - IT Outsourcing Services
2. OIT Managed ERP Services - PowerFaids & PowerCampus Resource
3. OIT Professional Services - GLBA Security Assessment",Amber,Onsite IT Manager and Mike C are working on items requested by the new POC,Change in leadership. Recently has a ransomware attack,Onsite IT Manager and Mike C are working on items requested by the new POC,Robin,
Fisk University,Roger,Prantik,,-,QL,"1.  OIT Managed Services - SSO Provisioning (QL)

",Red,QL Churn,Client has 2 schedules with us (including 2500 licenses) and the license utilization is approximately 2000 licenses. Client shared that they have explored other options for IDAM services with Free Pen Testing from Homeland Security. Tried offering free Penetration Testing also and tried getting the approximate quote from the other vendors but the client didn't want to disclose. Hence this will be a churn.,Dir CS has this under control. The client hasn’t been very responsive for the last 2–3 years.,QL,Open
Manhattan School of Music,Roger,Yashi,,Eric,MSS,"1. vCISO and IT Security Assessment Services
2. SOC as a Service & Remediation Hours                                                      
3.  Penetration Testing                       ",Amber,Followup for Soc Renewal in February end.,Checked the feedback for the new CISO on the EHC with Juan and Seth and they are neutral for now. Reached out to Neeraj for the Renewal of SOC and Neeraj responded they will review and update by the end of February 2026,Client moved from a multi-year to one year renewal,Yashi,Ongoing
Morehouse School of Medicine,Roger,Chris,,-,MEA,BEIS - Implementation and Support,Red,OIT Churn,"PM  - They were never engaged, and haven't used OIT services since 2019. not making payments and have sent the termination notice.","This was a one-time engagement. The client also hasn’t paid for this year’s service, which they discontinued using last year. We are internally working on a credit-memo for this.",Chris,Open
Bowie State University,Roger,Yashi,,Aditya,MSS,vCISO,Red,PM is following up to re-start the conversation. CS will follow up next.,No Communication with client from the very begininng. Client is non-responsive to our emails.,Payment issues - CS is working on this,Yashi,Open
Parkland College,Sourabh,Yashi,,-,MIS,"Infrastructure resources including Systems, Cloud, Network, and Cybersecurity",Amber,CS and PM will reach out to client on the Project call on Friday,No work is coming.,,Yashi,
Lakeshore Technical College,Ryan,Sophie,-,Blake,MSS,vCISO,Amber,Client has not responded on the feedback email. Keeping in Amber for now. Although we don't have any onging issues/escalations.,"They only renewed for vCISO services. Perley is handling the vCISO engagement. We don't have any ongoing issues with this engagement. 

1/30 - Account got transitoned from Perley to Blake",There was a downsell in this account.,Perley,On Going
